,0
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,6
14,5
15,5
16,6
17,5
18,5
19,5
20,5
21,5
22,6
23,5
24,5
25,5
26,5
27,6
28,5
29,5
30,5
31,6
32,5
33,5
34,5
35,5
36,6
37,6
38,5
39,5
40,5
41,5
42,6
43,6
44,5
45,6
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,6
65,6
66,5
67,6
68,6
69,6
70,5
71,5
72,5
73,5
74,5
75,6
76,6
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,6
85,5
86,6
87,5
88,5
89,5
90,5
91,6
92,6
93,5
94,5
95,6
96,5
97,5
98,5
99,5
100,5
101,6
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,6
114,5
115,6
116,5
117,5
118,6
119,5
120,5
121,6
122,5
123,5
124,5
125,5
126,5
127,5
128,6
129,5
130,5
131,6
132,6
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,7
143,5
144,7
145,5
146,5
147,5
148,6
149,6
150,6
151,6
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,6
163,5
164,5
165,5
166,5
167,5
168,5
169,6
170,5
171,5
172,5
173,6
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,6
198,6
199,5
200,6
201,5
202,5
203,5
204,5
205,6
206,6
207,5
208,5
209,6
210,7
211,5
212,6
213,5
214,5
215,5
216,6
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,6
226,6
227,5
228,6
229,6
230,6
231,5
232,5
233,6
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,6
242,5
243,6
244,6
245,6
246,5
247,5
248,5
249,6
250,6
251,5
252,6
253,5
254,5
255,5
256,5
257,5
258,5
259,6
260,5
261,5
262,5
263,5
264,6
265,6
266,5
267,7
268,5
269,6
270,6
271,6
272,6
273,5
274,5
275,6
276,5
277,6
278,7
279,6
280,6
281,6
282,5
283,6
284,5
285,5
286,6
287,6
288,6
289,5
290,6
291,6
292,6
293,6
294,6
295,5
296,5
297,5
298,5
299,5
300,6
301,6
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
314,6
315,6
316,5
317,5
318,6
319,5
320,6
321,5
322,5
323,5
324,5
325,5
326,6
327,6
328,6
329,5
330,7
331,7
332,5
333,6
334,6
335,7
336,7
337,6
338,6
339,6
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,7
348,6
349,5
350,6
351,5
352,5
353,7
354,6
355,6
356,6
357,6
358,6
359,5
360,5
361,6
362,5
363,6
364,5
365,7
366,5
367,5
368,5
369,7
370,5
371,5
372,6
373,5
374,6
375,7
376,6
377,7
378,7
379,6
380,6
381,6
382,6
383,6
384,5
385,5
386,5
387,5
388,5
389,6
390,6
391,6
392,5
393,5
394,5
395,7
396,5
397,6
398,6
399,5
400,5
401,6
402,6
403,6
404,5
405,6
406,6
407,6
408,6
409,5
410,5
411,5
412,5
413,7
414,5
415,5
416,6
417,5
418,6
419,5
420,6
421,6
422,5
423,6
424,5
425,6
426,6
427,5
428,5
429,5
430,6
431,5
432,7
433,5
434,6
435,5
436,5
437,6
438,6
439,5
440,6
441,6
442,6
443,6
444,6
445,5
446,6
447,6
448,5
449,6
450,6
451,5
452,5
453,6
454,6
455,7
456,5
457,5
458,6
459,5
460,6
461,5
462,7
463,5
464,5
465,6
466,6
467,7
468,5
469,5
470,6
471,6
472,6
473,6
474,6
475,5
476,6
477,7
478,5
479,5
480,6
481,7
482,6
483,6
484,7
485,5
486,5
487,5
488,6
489,6
490,5
491,7
492,7
493,6
494,6
495,6
496,5
497,6
498,6
499,6
500,5
501,7
502,7
503,6
504,6
505,7
506,6
507,5
508,5
509,6
510,5
511,5
512,5
513,6
514,6
515,5
516,6
517,5
518,6
519,6
520,6
521,5
522,5
523,5
524,5
525,5
526,6
527,6
528,5
529,5
530,6
531,6
532,6
533,7
534,6
535,6
536,5
537,6
538,7
539,6
540,5
541,6
542,5
543,6
544,5
545,5
546,5
547,6
548,6
549,5
550,5
551,6
552,6
553,5
554,6
555,6
556,6
557,6
558,6
559,7
560,6
561,5
562,5
563,6
564,7
565,6
